epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1400.1,0.42752,0.28535,0.85689,0.82996,0.85224,0.88929,0.74187,0.62018,0.40565,0.94109,4.62392e-05,4.62392e-05,4.62392e-05
74,1419.3,0.43831,0.2831,0.85917,0.794,0.86508,0.88026,0.73937,0.6177,0.41854,0.94459,4.46453e-05,4.46453e-05,4.46453e-05
75,1438.58,0.44019,0.27386,0.86152,0.81578,0.87326,0.88915,0.74497,0.62188,0.41344,0.94519,4.30514e-05,4.30514e-05,4.30514e-05
76,1457.86,0.42864,0.28101,0.86182,0.77176,0.89616,0.88504,0.73784,0.62179,0.41804,0.94661,4.14575e-05,4.14575e-05,4.14575e-05
77,1477.05,0.41991,0.27168,0.85446,0.81608,0.84511,0.87308,0.73224,0.63383,0.43359,0.95578,3.98636e-05,3.98636e-05,3.98636e-05
78,1496.39,0.42483,0.27058,0.85242,0.79249,0.88203,0.87819,0.73785,0.6218,0.42504,0.948,3.82697e-05,3.82697e-05,3.82697e-05
79,1515.49,0.43442,0.27014,0.861,0.83116,0.85447,0.87831,0.74032,0.61845,0.41654,0.94957,3.66758e-05,3.66758e-05,3.66758e-05
80,1534.56,0.41798,0.26657,0.85661,0.83429,0.85244,0.87852,0.73993,0.61896,0.4123,0.95246,3.50819e-05,3.50819e-05,3.50819e-05
81,1553.64,0.4221,0.26885,0.85909,0.80667,0.8923,0.88335,0.74122,0.62007,0.40888,0.95168,3.3488e-05,3.3488e-05,3.3488e-05
82,1572.84,0.40699,0.26083,0.85419,0.79442,0.88783,0.88318,0.74076,0.61945,0.41241,0.95434,3.18941e-05,3.18941e-05,3.18941e-05
83,1591.75,0.40839,0.25682,0.8483,0.7846,0.89446,0.8868,0.74155,0.61906,0.40954,0.95346,3.03002e-05,3.03002e-05,3.03002e-05
84,1610.4,0.39803,0.25756,0.84598,0.79212,0.88779,0.8837,0.74074,0.62203,0.41712,0.94856,2.87063e-05,2.87063e-05,2.87063e-05
85,1629.56,0.40576,0.25306,0.85431,0.82254,0.86109,0.89423,0.75109,0.62422,0.41571,0.94894,2.71124e-05,2.71124e-05,2.71124e-05
